#,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
#,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Fort Yukon,Yukon-Koyukuk/Upper Tanana,246,1,1844,0.089126898,164.35,15,1121.8146232877,0.2797318939,12,756.5833333333,0.2954736095,0.1909555635,1733.6855606035,75015.1432464665,507115.820626569,233,21604.1757212527,156551.997980092,0.3087105383
Gakona,Copper River/Chugach,86,6,1881.3333333333,0.0790459472,892.270652301,14,1541.515,0.1739324242,12,1547.4341666667,0.2832479882,0.1101728675,2045.823113103,21170.215741487,140656.92566295,68,5164.2118695395,37421.8251415904,0.266050356
Galena,Yukon-Koyukuk/Upper Tanana,190,7,1104.2857142857,0.0775936521,599.7989308111,17,1121.8146232877,0.2375639775,10,1507,0.4228442892,0.1051434411,1584.5116575928,48289.2852861758,321752.79192881,173,19495.225252951,141269.74820979,0.4390630066
Gambell,Bering Straits,164,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,30773.0437815478,198678.288272085,164,10035.9424381363,72724.2205662053,0.3660401003
Game Creek,Southeast,7,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,1471.1511106518,9622.6892076217,7,412.8958064294,2991.9985973142,0.3109316463
Glacier View,Railbelt,99,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,26631.4703915806,178303.843417251,99,6129.4345189221,44416.1921661021,0.2491039526
Glennallen,Copper River/Chugach,203,13,2045.1538461539,0.1037318297,2757.9181570001,70,1823.756,0.1863973708,37,1507.5608108108,0.259752837,0.1316309651,7342.3423267804,62111.5889710526,419987.021529367,153,13510.0901306776,97899.2038454897,0.2331005456
Golovin,Bering Straits,49,4,1033,0.0787744308,325.4959482566,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,8769.3189370959,56281.0067905502,45,2753.7646933911,19954.8166187759,0.3545568524
Goodnews Bay,Lower Yukon-Kuskokwim,76,4,1267,0.0690734018,350.0640005,47,762.9782608696,0.1909386024,40,743.75,0.4236835174,0.1116677915,3322.116796245,8334.0048851646,49123.5136606129,32,1975.1380272296,14312.5944002142,0.2913593376
Grayling,Yukon-Koyukuk/Upper Tanana,55,3,1107.3333333333,0.077840623,258.5865496466,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,14640.3526360304,97935.164029206,52,4694.2747477057,34016.4836790269,0.3473367714
Gulkana,Copper River/Chugach,36,0,0,0,0,7,842.9285714286,0.1543141463,6,752.4166666667,0.2999368524,0.1382720817,624.229312822,4526.5033996431,27463.357968428,30,1170.4358067551,8481.4188895299,0.3088267247
Gustavus,Southeast,212,11,1794.6363636364,0.066079185,1304.4691911035,27,1711.7903707981,0.1565992805,15,1151.584,0.4121661526,0.0898519404,1552.0808532935,52716.6661615492,350573.522909777,186,20550.6522262096,148917.769755142,0.4247832766
Haines,Southeast,782,30,2279.9,0.0758127359,5185.3636981342,231,1731.2233333333,0.1841035987,147,1616.3775510204,0.2933347203,0.1271016135,30200.2966198073,228213.950064919,1537784.27583275,605,56563.2324418238,409878.495955245,0.2665383581
Halibut Cove,Railbelt,34,1,1945,0.052966581,103.02,1,1747.5136673929,0.1539357067,1,2529,0.2301575703,0.0822775801,208.08,8919.2520457634,59591.3916359669,32,1981.2313596516,14356.7489829825,0.2409198475
Healy,Railbelt,434,25,1729.64,0.090159773,3898.5987449302,67,1795.9365671642,0.1606922197,31,1312.7419354839,0.1782755223,0.1643670436,6688.9168404564,119675.682197031,802869.870992976,378,19447.7498759451,140925.723738733,0.1755274782
Healy Lake,Yukon-Koyukuk/Upper Tanana,7,0,0,0,0,1,1121.8146232877,0.2465402206,1,672,0.3264046098,0.5954315476,400.13,2059.5645484289,13886.5546987602,6,541.6470862737,3924.9788860416,0.2826459818
Hobart Bay,Southeast,1,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,210.1644443788,1374.6698868031,1,58.9851152042,427.4283710449,0.3109316463
Hollis,Southeast,44,4,1174.25,0.1315930994,618.0927878617,9,812.6666666667,0.1227746387,9,894.3333333333,0.2806617236,0.1388733937,1117.7919462359,4828.9052830757,28468.5890077945,31,868.0924784858,6290.5252064187,0.2209637156
Holy Cross,Yukon-Koyukuk/Upper Tanana,64,2,1053,0.0736324786,155.07,5,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,17302.5603337654,115892.176331633,62,5597.0198914953,40558.1151557628,0.3499642205
Hoonah,Southeast,305,2,2421.5,0.0552852525,267.746477935,76,1330.0657894737,0.1702831183,53,1294.8113207547,0.3413035794,0.1089581928,7477.2559807567,64366.9399860479,421207.536130782,250,19325.2699502581,140038.188045348,0.3324683821
Hooper Bay,Lower Yukon-Kuskokwim,256,8,7177.6875,0.0751182551,4313.4028836773,96,738.4583333333,0.1504484036,37,796,0.2652378437,0.1018632772,3000.0772399431,30755.5542450643,184911.552500466,211,6217.7251911446,45055.9796459757,0.2436623296
Hope,Railbelt,97,0,0,0,0,4,1747.5136673929,0.1539357067,3,1018.0833333333,0.2301575703,0.1907122058,582.4827545932,25868.9293890233,173074.70571756,94,5819.8671189765,42172.9501375111,0.2436690559
Houston,Railbelt,731,0,0,0,0,27,1747.5136673929,0.1455498795,20,1495.8,0.1703902608,0.1177049511,3521.2613182723,184364.398319757,1227595.20521563,711,30813.9092833257,223289.197705259,0.1818915525
Hughes,Yukon-Koyukuk/Upper Tanana,31,5,997.8,0.0921170638,459.5720315166,25,778.76,0.1864647014,19,736.4736842105,0.1911741181,0.1459940588,2042.8948644908,3518.9456518061,20903.5192159864,7,194.3244296607,1408.1480410194,0.0673641613
Huslia,Yukon-Koyukuk/Upper Tanana,91,7,1389,0.0739908165,719.4127085115,22,886.6363636364,0.165694416,18,887.4444444444,0.1278800212,0.1230969451,1966.3506005167,12381.8691463082,76231.9503355667,66,1239.9382201829,8985.0595665429,0.1178647474
Hydaburg,Southeast,128,0,0,0,0,59,1170.5423728814,0.1189296342,40,1174.425,0.2630062538,0.076511463,3594.2789972159,15844.9505023082,95841.0905964359,88,3222.00321905,23347.8494134056,0.2436100139
Hyder,Southeast,48,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,10087.8933301837,65984.1545665489,48,2831.2855298013,20516.5618101542,0.3109316463
Igiugig,Bristol Bay,16,3,1493.3333333333,0.0890453052,398.9229672565,18,1166,0.0927187902,0,0,0.2334826601,0,0,1804.3543894604,10702.8578946407,13,328.143867016,2377.8541088119,0.2221700159
